model,log_MSE,log_MAPE,n_eval
MLR,0.5418575963896367,10.599431812106609,74
LASSO,0.5603610594204221,10.795379645411519,74
SVR,0.5791874750213682,11.021172419194574,74
XGBoost,0.5808303183651214,10.763750364502247,74
LSTM,,,0
MeanComb,0.5573755431268662,10.700990459561451,74
MedianComb,0.5586762238907508,10.74366096332652,74
TrimmedMeanComb,0.5586762238907508,10.74366096332652,74
DMSPE_1.0,0.5569853593436246,10.698706211814477,74
DMSPE_0.9,0.5573158441370504,10.70019327096102,74
