month,feature_set,model,lasso__alpha,svr__C,svr__epsilon,svr__kernel,hgb__l2_regularization,hgb__learning_rate,hgb__max_depth,hgb__max_iter,svr__gamma
2020-11-30,oil_augmented,SVR,,0.1,0.1,linear,,,,,
2020-11-30,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2020-12-31,oil_augmented,MLR,,,,,,,,,
2020-12-31,oil_augmented,LASSO,0.0210490414451202,,,,,,,,
2020-12-31,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2020-12-31,oil_augmented,XGBoost,,,,,10.0,0.03,2.0,200.0,
2021-01-31,oil_augmented,MLR,,,,,,,,,
2021-01-31,oil_augmented,LASSO,0.023644894126454073,,,,,,,,
2021-01-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2021-01-31,oil_augmented,XGBoost,,,,,10.0,0.03,2.0,200.0,
2021-02-28,oil_augmented,MLR,,,,,,,,,
2021-02-28,oil_augmented,LASSO,0.0210490414451202,,,,,,,,
2021-02-28,oil_augmented,SVR,,1.0,0.05,linear,,,,,
2021-02-28,oil_augmented,XGBoost,,,,,5.0,0.1,1.0,200.0,
2021-03-31,oil_augmented,MLR,,,,,,,,,
2021-03-31,oil_augmented,LASSO,0.023644894126454073,,,,,,,,
2021-03-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2021-03-31,oil_augmented,XGBoost,,,,,5.0,0.1,1.0,200.0,
2021-04-30,oil_augmented,MLR,,,,,,,,,
2021-04-30,oil_augmented,LASSO,0.006579332246575682,,,,,,,,
2021-04-30,oil_augmented,SVR,,1.0,0.2,linear,,,,,
2021-04-30,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2021-05-31,oil_augmented,MLR,,,,,,,,,
2021-05-31,oil_augmented,LASSO,0.026560877829466867,,,,,,,,
2021-05-31,oil_augmented,SVR,,1.0,0.1,linear,,,,,
2021-05-31,oil_augmented,XGBoost,,,,,10.0,0.1,1.0,200.0,
2021-06-30,oil_augmented,MLR,,,,,,,,,
2021-06-30,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-06-30,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2021-06-30,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2021-07-31,oil_augmented,MLR,,,,,,,,,
2021-07-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-07-31,oil_augmented,SVR,,10.0,0.1,linear,,,,,
2021-07-31,oil_augmented,XGBoost,,,,,1.0,0.1,1.0,200.0,
2021-08-31,oil_augmented,MLR,,,,,,,,,
2021-08-31,oil_augmented,LASSO,0.029836472402833405,,,,,,,,
2021-08-31,oil_augmented,SVR,,10.0,0.2,linear,,,,,
2021-08-31,oil_augmented,XGBoost,,,,,5.0,0.1,1.0,200.0,
2021-09-30,oil_augmented,MLR,,,,,,,,,
2021-09-30,oil_augmented,LASSO,0.03351602650938841,,,,,,,,
2021-09-30,oil_augmented,SVR,,1.0,0.1,linear,,,,,
